rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0030.jpg,12.0,0.8347,0.8694,0.6667,1.0,8,6,False,True
2,frame_0078.jpg,31.2,0.8246,0.7798,0.8889,0.84,9,8,False,True
3,frame_0031.jpg,12.4,0.8012,0.8691,0.5556,1.0,9,5,False,False
4,frame_0001.jpg,0.4,0.777,0.754,0.6667,1.0,12,6,False,True
5,frame_0074.jpg,29.6,0.774,0.8146,0.5556,1.0,9,5,False,False
6,frame_0128.jpg,51.2,0.7499,0.8304,0.5556,0.84,9,5,False,True
7,frame_0076.jpg,30.4,0.7483,0.862,0.4444,0.92,10,4,False,False
8,frame_0003.jpg,1.2,0.7439,0.8211,0.4444,1.0,8,4,False,False
9,frame_0004.jpg,1.6,0.7427,0.7521,0.5556,1.0,9,5,False,False
10,frame_0075.jpg,30.0,0.7375,0.7576,0.5556,0.96,9,5,False,False
11,frame_0130.jpg,52.0,0.7264,0.7515,0.5556,0.92,12,5,False,False
12,frame_0033.jpg,13.2,0.7235,0.7804,0.4444,1.0,9,4,False,False
13,frame_0082.jpg,32.8,0.7215,0.8376,0.5556,0.68,8,5,False,False
14,frame_0068.jpg,27.2,0.7203,0.7073,0.5556,1.0,9,5,False,True
15,frame_0129.jpg,51.6,0.7127,0.6734,0.6667,0.88,10,6,False,False
16,frame_0010.jpg,4.0,0.7048,0.7429,0.4444,1.0,4,4,False,True
17,frame_0186.jpg,74.4,0.6923,0.8352,0.8889,0.04,12,8,False,True
18,frame_0029.jpg,11.6,0.6915,0.7163,0.4444,1.0,9,4,False,False
19,frame_0374.jpg,149.6,0.6913,0.9026,0.6667,0.2,11,6,False,True
20,frame_0081.jpg,32.4,0.6903,0.626,0.7778,0.72,8,7,False,False
21,frame_0208.jpg,83.2,0.6873,0.8039,0.4444,0.76,6,4,False,True
22,frame_0026.jpg,10.4,0.6869,0.7072,0.4444,1.0,8,4,False,False
23,frame_0288.jpg,115.2,0.6826,0.8106,0.4444,0.72,10,4,False,True
24,frame_0126.jpg,50.4,0.6767,0.7827,0.4444,0.76,10,4,False,False
25,frame_0005.jpg,2.0,0.6763,0.686,0.4444,1.0,7,4,False,False
26,frame_0175.jpg,70.0,0.6746,0.7039,0.8889,0.28,9,8,False,True
27,frame_0021.jpg,8.4,0.6728,0.5456,0.6667,1.0,7,6,False,True
28,frame_0127.jpg,50.8,0.6724,0.7582,0.4444,0.8,10,4,False,False
29,frame_0291.jpg,116.4,0.6696,0.6699,0.5556,0.84,9,5,False,False
30,frame_0289.jpg,115.6,0.6687,0.7668,0.4444,0.76,9,4,False,False
31,frame_0292.jpg,116.8,0.663,0.8726,0.2222,0.8,8,2,False,False
32,frame_0032.jpg,12.8,0.6628,0.7256,0.3333,1.0,10,3,False,False
33,frame_0077.jpg,30.8,0.6624,0.6395,0.5556,0.88,10,5,False,False
34,frame_0013.jpg,5.2,0.6603,0.7872,0.2222,1.0,4,2,False,False
35,frame_0397.jpg,158.8,0.6576,0.8352,0.6667,0.2,10,6,False,False
36,frame_0323.jpg,129.2,0.6559,0.8638,0.6667,0.12,11,6,False,False
37,frame_0307.jpg,122.8,0.6535,0.6937,0.8889,0.2,13,8,False,False
38,frame_0079.jpg,31.6,0.6483,0.5766,0.6667,0.8,12,6,False,False
39,frame_0290.jpg,116.0,0.6471,0.7743,0.3333,0.8,11,3,False,False
